iter	Passed	Remaining
0	24	24508
1	39	19570
2	52	17570
3	66	16570
4	80	16005
5	93	15561
6	107	15288
7	120	14921
8	139	15375
9	158	15671
10	174	15686
11	189	15630
12	208	15859
13	224	15816
14	238	15683
15	258	15924
16	273	15840
17	287	15661
18	300	15526
19	313	15357
20	327	15250
21	340	15132
22	353	15017
23	366	14914
24	380	14836
25	394	14764
26	406	14665
27	421	14615
28	434	14557
29	448	14488
30	461	14433
31	475	14398
32	489	14353
33	504	14321
34	520	14346
35	540	14472
36	556	14479
37	569	14420
38	588	14499
39	604	14507
40	617	14446
41	639	14590
42	656	14612
43	673	14623
44	694	14728
45	709	14706
46	724	14683
47	743	14742
48	758	14725
49	771	14662
50	781	14539
51	795	14507
52	811	14493
53	821	14393
54	828	14239
55	839	14154
56	849	14058
57	861	13985
58	873	13924
59	882	13829
60	893	13758
61	904	13681
62	914	13596
63	926	13550
64	937	13490
65	949	13432
66	960	13374
67	971	13321
68	984	13287
69	999	13273
70	1008	13201
71	1024	13208
72	1041	13228
73	1048	13119
74	1071	13209
75	1090	13254
76	1109	13305
77	1128	13334
78	1152	13441
79	1159	13332
80	1178	13365
81	1189	13314
82	1204	13304
83	1216	13266
84	1225	13194
85	1235	13131
86	1244	13062
87	1254	13003
88	1264	12941
89	1273	12874
90	1282	12807
91	1286	12698
92	1301	12689
93	1313	12663
94	1326	12632
95	1338	12603
96	1350	12571
97	1359	12517
98	1371	12482
99	1383	12452
100	1396	12432
101	1410	12416
102	1419	12365
103	1428	12310
104	1438	12258
105	1447	12204
106	1456	12151
107	1464	12098
108	1474	12050
109	1483	12006
110	1492	11956
111	1502	11916
112	1512	11869
113	1522	11829
114	1529	11770
115	1542	11758
116	1557	11756
117	1573	11762
118	1588	11757
119	1601	11747
120	1616	11741
121	1630	11732
122	1643	11721
123	1657	11710
124	1670	11696
125	1681	11663
126	1694	11648
127	1711	11659
128	1725	11649
129	1739	11640
130	1758	11667
131	1775	11672
132	1791	11679
133	1807	11680
134	1821	11672
135	1833	11647
136	1851	11661
137	1865	11653
138	1876	11623
139	1892	11625
140	1908	11629
141	1923	11620
142	1938	11614
143	1949	11589
144	1961	11566
145	1974	11551
146	1986	11525
147	1996	11495
148	2007	11464
149	2020	11447
150	2035	11444
151	2051	11446
152	2066	11437
153	2070	11373
154	2086	11374
155	2103	11382
156	2118	11376
157	2133	11371
158	2143	11338
159	2149	11284
160	2160	11256
161	2172	11239
162	2182	11206
163	2191	11170
164	2205	11160
165	2216	11134
166	2225	11099
167	2230	11044
168	2238	11006
169	2251	10991
170	2264	10979
171	2277	10963
172	2289	10946
173	2301	10923
174	2306	10873
175	2318	10853
176	2328	10826
177	2341	10814
178	2355	10802
